country;country_code;year_week;age_group;new_cases;population;rate_14_day_per_100k;source
Austria;AT;2020-01;<15yr;0;1285488;NA;TESSy COVID-19
Austria;AT;2020-02;<15yr;0;1285488;NA;TESSy COVID-19
Austria;AT;2020-03;<15yr;0;1285488;NA;TESSy COVID-19
Austria;AT;2020-04;<15yr;0;1285488;NA;TESSy COVID-19
Austria;AT;2020-05;<15yr;0;1285488;NA;TESSy COVID-19
Austria;AT;2020-06;<15yr;0;1285488;NA;TESSy COVID-19
Austria;AT;2020-07;<15yr;0;1285488;NA;TESSy COVID-19
Austria;AT;2020-08;<15yr;0;1285488;NA;TESSy COVID-19
Austria;AT;2020-09;<15yr;0;1285488;NA;TESSy COVID-19
Austria;AT;2020-10;<15yr;7;1285488;0.5445402835;TESSy COVID-19
Austria;AT;2020-11;<15yr;10;1285488;1.3224549743;TESSy COVID-19
Austria;AT;2020-12;<15yr;59;1285488;5.3676113663;TESSy COVID-19
Austria;AT;2020-13;<15yr;156;1285488;16.7251658514;TESSy COVID-19
Austria;AT;2020-14;<15yr;104;1285488;20.2257819598;TESSy COVID-19
Austria;AT;2020-15;<15yr;54;1285488;12.2910521141;TESSy COVID-19
Austria;AT;2020-16;<15yr;14;1285488;5.2898198972;TESSy COVID-19
Austria;AT;2020-17;<15yr;21;1285488;2.7227014177;TESSy COVID-19
Austria;AT;2020-18;<15yr;20;1285488;3.1894502321;TESSy COVID-19
Austria;AT;2020-19;<15yr;6;1285488;2.022578196;TESSy COVID-19
Austria;AT;2020-20;<15yr;25;1285488;2.4115355414;TESSy COVID-19
Austria;AT;2020-21;<15yr;25;1285488;3.8895734538;TESSy COVID-19
Austria;AT;2020-22;<15yr;28;1285488;4.122947861;TESSy COVID-19
Austria;AT;2020-23;<15yr;33;1285488;4.7452796137;TESSy COVID-19
Austria;AT;2020-24;<15yr;23;1285488;4.3563222683;TESSy COVID-19
Austria;AT;2020-25;<15yr;32;1285488;4.2785307992;TESSy COVID-19
Austria;AT;2020-26;<15yr;42;1285488;5.7565687116;TESSy COVID-19
Austria;AT;2020-27;<15yr;109;1285488;11.7465118305;TESSy COVID-19
Austria;AT;2020-28;<15yr;59;1285488;13.0689668048;TESSy COVID-19
Austria;AT;2020-29;<15yr;95;1285488;11.9798862378;TESSy COVID-19
Austria;AT;2020-30;<15yr;82;1285488;13.7690900265;TESSy COVID-19
Austria;AT;2020-31;<15yr;74;1285488;12.1354691759;TESSy COVID-19
Austria;AT;2020-32;<15yr;53;1285488;9.8795165727;TESSy COVID-19
Austria;AT;2020-33;<15yr;78;1285488;10.190682449;TESSy COVID-19
Austria;AT;2020-34;<15yr;128;1285488;16.0250426297;TESSy COVID-19
Austria;AT;2020-35;<15yr;177;1285488;23.7263980683;TESSy COVID-19
Austria;AT;2020-36;<15yr;227;1285488;31.4277535068;TESSy COVID-19
Austria;AT;2020-37;<15yr;385;1285488;47.6083790747;TESSy COVID-19
Austria;AT;2020-38;<15yr;512;1285488;69.7789477615;TESSy COVID-19
Austria;AT;2020-39;<15yr;470;1285488;76.391222633;TESSy COVID-19
Austria;AT;2020-40;<15yr;618;1285488;84.6371183551;TESSy COVID-19
Austria;AT;2020-41;<15yr;843;1285488;113.6533363205;TESSy COVID-19
Austria;AT;2020-42;<15yr;985;1285488;142.2028054715;TESSy COVID-19
Austria;AT;2020-43;<15yr;1370;1285488;183.1989096748;TESSy COVID-19
Austria;AT;2020-44;<15yr;1881;1285488;252.9000659672;TESSy COVID-19
Austria;AT;2020-45;<15yr;2041;1285488;305.0981417174;TESSy COVID-19
Austria;AT;2020-46;<15yr;2911;1285488;385.223354866;TESSy COVID-19
Austria;AT;2020-47;<15yr;2640;1285488;431.8204448427;TESSy COVID-19
Austria;AT;2020-48;<15yr;1876;1285488;351.3062743487;TESSy COVID-19
