age;Time;val
All ages;Year 2020 Week 01;0
00-10;Year 2020 Week 01;0
10-20;Year 2020 Week 01;0
20-30;Year 2020 Week 01;0
30-40;Year 2020 Week 01;0
40-50;Year 2020 Week 01;0
50-60;Year 2020 Week 01;0
60-70;Year 2020 Week 01;0
70-80;Year 2020 Week 01;0
80-;Year 2020 Week 01;0
All ages;Year 2020 Week 02;0
00-10;Year 2020 Week 02;0
10-20;Year 2020 Week 02;0
20-30;Year 2020 Week 02;0
30-40;Year 2020 Week 02;0
40-50;Year 2020 Week 02;0
50-60;Year 2020 Week 02;0
60-70;Year 2020 Week 02;0
70-80;Year 2020 Week 02;0
80-;Year 2020 Week 02;0
All ages;Year 2020 Week 03;0
00-10;Year 2020 Week 03;0
10-20;Year 2020 Week 03;0
20-30;Year 2020 Week 03;0
30-40;Year 2020 Week 03;0
40-50;Year 2020 Week 03;0
50-60;Year 2020 Week 03;0
60-70;Year 2020 Week 03;0
70-80;Year 2020 Week 03;0
80-;Year 2020 Week 03;0
All ages;Year 2020 Week 04;0
00-10;Year 2020 Week 04;0
10-20;Year 2020 Week 04;0
20-30;Year 2020 Week 04;0
30-40;Year 2020 Week 04;0
40-50;Year 2020 Week 04;0
50-60;Year 2020 Week 04;0
60-70;Year 2020 Week 04;0
70-80;Year 2020 Week 04;0
80-;Year 2020 Week 04;0
00-10;Year 2020 Week 05;0
10-20;Year 2020 Week 05;0
20-30;Year 2020 Week 05;0
30-40;Year 2020 Week 05;0
40-50;Year 2020 Week 05;0
50-60;Year 2020 Week 05;0
60-70;Year 2020 Week 05;0
70-80;Year 2020 Week 05;0
80-;Year 2020 Week 05;0
All ages;Year 2020 Week 05;1
00-10;Year 2020 Week 06;0
10-20;Year 2020 Week 06;0
20-30;Year 2020 Week 06;0
30-40;Year 2020 Week 06;0
40-50;Year 2020 Week 06;0
50-60;Year 2020 Week 06;0
60-70;Year 2020 Week 06;0
70-80;Year 2020 Week 06;0
80-;Year 2020 Week 06;0
All ages;Year 2020 Week 06;0
00-10;Year 2020 Week 07;0
10-20;Year 2020 Week 07;0
20-30;Year 2020 Week 07;0
30-40;Year 2020 Week 07;0
40-50;Year 2020 Week 07;0
50-60;Year 2020 Week 07;0
60-70;Year 2020 Week 07;0
70-80;Year 2020 Week 07;0
80-;Year 2020 Week 07;0
All ages;Year 2020 Week 07;1
00-10;Year 2020 Week 08;0
10-20;Year 2020 Week 08;0
20-30;Year 2020 Week 08;0
30-40;Year 2020 Week 08;0
40-50;Year 2020 Week 08;0
50-60;Year 2020 Week 08;0
60-70;Year 2020 Week 08;0
70-80;Year 2020 Week 08;0
80-;Year 2020 Week 08;0
All ages;Year 2020 Week 08;1
00-10;Year 2020 Week 09;0
10-20;Year 2020 Week 09;0
20-30;Year 2020 Week 09;0
30-40;Year 2020 Week 09;0
40-50;Year 2020 Week 09;0
50-60;Year 2020 Week 09;0
60-70;Year 2020 Week 09;0
70-80;Year 2020 Week 09;0
80-;Year 2020 Week 09;0
All ages;Year 2020 Week 09;7
00-10;Year 2020 Week 10;0
10-20;Year 2020 Week 10;0
20-30;Year 2020 Week 10;0
30-40;Year 2020 Week 10;6
40-50;Year 2020 Week 10;5
50-60;Year 2020 Week 10;12
60-70;Year 2020 Week 10;0
70-80;Year 2020 Week 10;0
80-;Year 2020 Week 10;0
All ages;Year 2020 Week 10;34
00-10;Year 2020 Week 11;0
10-20;Year 2020 Week 11;12
20-30;Year 2020 Week 11;56
30-40;Year 2020 Week 11;76
40-50;Year 2020 Week 11;65
50-60;Year 2020 Week 11;75
60-70;Year 2020 Week 11;23
70-80;Year 2020 Week 11;6
80-;Year 2020 Week 11;0
All ages;Year 2020 Week 11;317
00-10;Year 2020 Week 12;6
10-20;Year 2020 Week 12;16
20-30;Year 2020 Week 12;66
30-40;Year 2020 Week 12;98
40-50;Year 2020 Week 12;126
50-60;Year 2020 Week 12;111
60-70;Year 2020 Week 12;64
70-80;Year 2020 Week 12;43
80-;Year 2020 Week 12;10
All ages;Year 2020 Week 12;540
00-10;Year 2020 Week 13;10
10-20;Year 2020 Week 13;32
20-30;Year 2020 Week 13;98
30-40;Year 2020 Week 13;106
40-50;Year 2020 Week 13;110
50-60;Year 2020 Week 13;139
60-70;Year 2020 Week 13;76
70-80;Year 2020 Week 13;40
80-;Year 2020 Week 13;31
All ages;Year 2020 Week 13;642
00-10;Year 2020 Week 14;19
10-20;Year 2020 Week 14;45
20-30;Year 2020 Week 14;178
30-40;Year 2020 Week 14;153
40-50;Year 2020 Week 14;170
50-60;Year 2020 Week 14;179
60-70;Year 2020 Week 14;87
70-80;Year 2020 Week 14;60
80-;Year 2020 Week 14;75
All ages;Year 2020 Week 14;966
00-10;Year 2020 Week 15;15
10-20;Year 2020 Week 15;59
20-30;Year 2020 Week 15;152
30-40;Year 2020 Week 15;138
40-50;Year 2020 Week 15;137
50-60;Year 2020 Week 15;197
60-70;Year 2020 Week 15;96
70-80;Year 2020 Week 15;39
80-;Year 2020 Week 15;98
All ages;Year 2020 Week 15;931
00-10;Year 2020 Week 16;22
10-20;Year 2020 Week 16;41
20-30;Year 2020 Week 16;142
30-40;Year 2020 Week 16;123
40-50;Year 2020 Week 16;98
50-60;Year 2020 Week 16;148
60-70;Year 2020 Week 16;69
70-80;Year 2020 Week 16;48
80-;Year 2020 Week 16;99
All ages;Year 2020 Week 16;790
00-10;Year 2020 Week 17;33
10-20;Year 2020 Week 17;47
20-30;Year 2020 Week 17;150
30-40;Year 2020 Week 17;125
40-50;Year 2020 Week 17;96
50-60;Year 2020 Week 17;109
60-70;Year 2020 Week 17;65
70-80;Year 2020 Week 17;27
80-;Year 2020 Week 17;84
All ages;Year 2020 Week 17;736
00-10;Year 2020 Week 18;28
10-20;Year 2020 Week 18;32
20-30;Year 2020 Week 18;141
30-40;Year 2020 Week 18;150
40-50;Year 2020 Week 18;87
50-60;Year 2020 Week 18;89
60-70;Year 2020 Week 18;47
70-80;Year 2020 Week 18;19
80-;Year 2020 Week 18;30
All ages;Year 2020 Week 18;623
00-10;Year 2020 Week 19;27
10-20;Year 2020 Week 19;49
20-30;Year 2020 Week 19;123
30-40;Year 2020 Week 19;121
40-50;Year 2020 Week 19;108
50-60;Year 2020 Week 19;95
60-70;Year 2020 Week 19;37
70-80;Year 2020 Week 19;24
80-;Year 2020 Week 19;33
All ages;Year 2020 Week 19;617
00-10;Year 2020 Week 20;8
10-20;Year 2020 Week 20;25
20-30;Year 2020 Week 20;60
30-40;Year 2020 Week 20;95
40-50;Year 2020 Week 20;66
50-60;Year 2020 Week 20;70
60-70;Year 2020 Week 20;38
70-80;Year 2020 Week 20;10
80-;Year 2020 Week 20;24
